France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.679851,-1.041667,-0.294737,1.097973,2.005013,2.866503,15.047771,5.709343,4.124386,2.514932,5.121128,6.038506,3.246217,2.63789,2.622015,2.807994,4.552165,6.001412,5.728242,5.564889,6.047344,7.390733,13.659389,11.710466,9.602421,9.526798,9.236764,10.62736,13.53248,13.3144,11.978476,9.459548,7.673803,5.831099,2.538526,3.288898,2.700817,3.498302,3.381444,3.213407,2.36376,2.104463,1.655515,1.796481,1.982884,1.203943,0.651127,0.537142,1.67596,1.634781,1.923412,2.098472,2.14209,1.745869,1.675124,1.487998,2.812862,0.08762,1.531123,2.111598,1.954195,0.863715,0.507759,0.037514,0.183335,1.032283,1.850815,1.108255,0.476499,1.642331
United Kingdom,,3.669719,-1.769941,-5.405367,0,-3.809518,-4.950505,0,-4.16666,1.086896,-1.07521,-3.260923,-1.123534,6.81813,7.446857,-4.950505,-7.291712,1.123615,5.555569,-2.105298,-3.225784,0,-2.22218,1.1363,2.247229,1.098919,0.956562,0,-1.234589,2.500043,1.219533,-1.204839,4.878042,10.465124,0,4.400354,0.826449,4.91805,3.124942,0.878773,-13.043452,-1.000004,-5.050523,4.255335,-9.183706,13.483199,0.871332,4.545473,16.304315,14.018749,10.655704,-25.185153,-3.96041,6.185589,0.970877,-4.807709,-4.040418,-2.105271,4.301092,5.154658,-1.960791,-8.000028,-3.260882,5.618,3.191501,5.154658,-5.882373,3.125011,5.050523,-8.653875,-7.368448,1.136368,-4.4944,3.529426,1.136368,-2.2472,6.89658,-2.150546,-2.197811,12.359599,7.99994,-8.333286,-5.050523,0.638338,1.190481,9.411804,-3.225819,4.444462,2.127668,-1.04167,2.631542,6.41026,-1.204803,-1.219495,-4.93829,7.792192,27.710891,-5.660365,-13.000028,-8.045947,-1.249982,3.797414,2.439077,9.523758,5.434784,0,15.463922,-2.678597,-13.761411,4.255259,10.204086,6.481523,1.739106,-0.854689,-2.586231,-8.849561,4.854371,0,0.185176,2.0619,10.100938,0,1.834902,-2.702728,-5.555545,-1.960757,2.999958,1.941789,6.66664,2.678597,-2.60872,-2.678597,7.339479,3.418816,18.181797,4.895136,-13.333333,-1.538494,14.062527,34.246579,4.591808,-26.341445,-2.649016,2.721099,15.231762,-5.172383,-4.24245,6.962018,13.609489,5.72916,-5.418713,16.145828,-2.690577,-13.364064,-14.36169,9.93788,3.389823,-3.825122,-7.38638,-9.202456,-16.21623,5.645198,0,6.87024,5.714256,0.135138,-3.00753,3.100787,2.255661,-2.205903,0.751869,-5.223862,-5.51179,-5.000047,-6.140329,14.953262,3.252045,7.874017,2.189802,-2.142877,-3.649636,-6.060629,0.483842,3.603617,-1.739167,4.42478,17.796605,-18.705033,-8.849561,-1.941721,-2.970325,2.04086,11.999972,6.249976,-0.840325,0,2.542398,-9.090899,1.818156,4.464287,-0.854689,0.862057,1.709378,0,-1.680649,0.854689,0,-0.847446,-1.709378,0,2.829317,4.213277,0.742536,-4.504475,-1.543778,0.261351,-0.08685,-3.043528,-4.48431,2.065766,-1.287932,0.186391,0,-3.441912,-3.468164,-0.898226,-2.014073,-0.205547,0.823882,0.408575,0.813825,0.403627,-1.909558,-2.6639,-1.36844,-0.213444,2.032096,1.781984,-1.029924,4.058329,-0.300031,0,1.10333,-0.39682,0.398401,-0.099239,1.588926,1.270722,0.193048,2.1195,0.282983,2.822231,0.640462,2.545421,12.499992,18.124288,25.170291,21.991266,10.152001,15.362975,-8.526667,-14.028546,-5.993314,-0.704496,0.309273,-0.822501,-2.379587,-0.326034,-0.8843,-2.798929,-4.294667,-2.605916,-2.111808,-0.002793,0.6994,0.704306,3.391761,1.61084,2.779077,16.798809,10.806818,7.095768,3.405809,2.70766,2.791832,3.095386,6.998183,7.719922,2.792399,3.918495,9.049774,10.650069,3.625,2.291918,5.070755,5.162738,3.842049,2.877698,0.599401,0.794439,3.251232,4.198473,2.106227,3.2287,4.257168,4,2.24359,3.996865,5.199699,6.518625,9.414929,7.191149,9.34633,15.731515,22.700498,15.657312,14.942529,7.472222,11.372448,15.154328,11.809754,8.111031,4.934978,4.258024,4.92228,3.326071,3.204948,3.759258,5.257853,6.958187,7.535064,4.231997,2.555911,1.985981,2.609138,2.431159,1.81642,1.55804,1.346762,0.797319,1.238106,1.234288,1.375839,1.346133,2.035928,2.347418,2.314429,3.596902,2.183535,3.301569,4.463287,2.800821,2.56833,1.471957,0.050021,0.641613,2.690843,2.475208,1.778127,0.881262,2.582375
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.598174,1.872659,-0.441176,3.10192,0.931232,3.05181,4.958678,1.64042,0.58102,2.310655,2.948557,3.107861,4.314421,15.467422,26.889107,13.341067,13.306039,12.195122,12.533548,19.055569,24.879808,24.414501,21.14492,20.157514,18.467671,19.327103,23.026316,16.384008,13.526168,13.699264,20.435977,19.451091,15.878402,14.412381,10.870956,8.937732,8.192668,5.537419,4.764851,2.63637,3.15358,3.373228,3.628475,3.530713,2.899021,3.545356,3.195831,2.89485,4.151579,1.211922,4.710575,3.331627,1.502087,-0.923111,-1.310372,-1.737637,-0.82507,1.122398,0.62595,0.251627,-1.247572,1.223333
Hong Kong SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.591512,11.859838,5.060241,8.562691,1.338028,1.111883,-2.405498,-3.239437,3.42067,0.140746,-1.686578,8.220157,-4.227213,1.172414,-1.908657,2.501737,3.050847,0.577749,2.614379,6.210191,2.548726,3.581871,7.127735,3.42556,6.11465,18.127251,15.314348,3.213724,3.792135,5.728462,5.802048,11.572581,14.817864,13.373787,11.01596,9.922861,8.548644,3.555686,3.575482,5.671233,7.82992,10.218803,10.318499,11.192407,9.58563,8.795846,8.815632,9.033585,6.323862,5.817666,2.827132,-3.966529,-3.722983,-1.610249,-3.046231,-2.587482,-0.36681,0.914054,2.000252,2.035027,4.303155,0.579441,2.292891,5.305249,4.05391,4.337993,4.423645,2.990848,2.409307,1.493872,2.406134,2.883209,0.250962,1.568758
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.555556,97.563646,1.967577,3.587444,3.555031,5.902757,4.03288,4.604938,3.776702,1.671784,1.767338,2.055397,3.317178,3.189826,2.899283,6.076968,2.378528,1.030555,2.272727,3.412073,2.216582,-0.215196,-0.464499,-1.125,1.129372,1.500125,0.77182,0.154811,2.554507
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.44777,18.846805,28.279794,23.466148,18.289351,14.168093,10.020231,9.784749,9.15307,5.269619,4.662848,6.744114,3.561177,3.917471,7.963201,6.045473,4.207104,4.866939,3.919423,5.669464,1.719216,-0.220455,-0.070579,0.401253,2.344881,2.84203,3.346604,3.326241,5.109535
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.105576,12.244376,9.481448,11.78729,10.455523,4.729397,5.827197,9.275491,8.043166,6.417661,7.840011,9.368253,7.506232,9.750796,8.448731,9.439586,7.92301,6.613,60.63047,20.508655,3.690189,11.502093,11.879112,6.585381,6.212193,10.458579,13.103637,6.407077,11.119331,4.955548,5.140362,5.34363,3.980763,6.413387,6.394925,6.363121,3.525805,3.808798,3.198346,3.030587,2.018666,1.56008
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.168142,0.678426,2.291105,-2.635046,-5.41272,-0.429185,1.005747,-2.84495,-6.002928,-2.024922,-3.974563,0.993377,1.967213,3.054662,6.24025,1.762115,2.597403,15.471167,9.98782,10.741971,12.6,4.795737,-0.169492,-1.358234,5.679862,3.175896,0.23678,1.417323,7.996894,8.698778,5.297619,0.30777,2.592361,4.248047,4.127635,4.4307,0.005384,0.446861,2.760358,4.261423,2.456351,6.71875,5.032943,2.988325,3.121563,4.757998,7.404072,8.202399,8.961962,8.605176,11.416695,16.975009,20.875112,17.982036,13.636016,7.634967,13.238738,18.223844,20.405433,17.435961,10.19166,8.583196,5.443618,3.809144,3.137455,2.14229,4.083952,3.317391,3.15534,3.058824,1.445967,2.363091,2.528399,1.715511,1.417364,2.415518,1.631924,5.590717,4.872905,4.614733,3.49049,2.199629,2.429692,3.93164,4.897116,4.060305,-4.478103,-0.922096,2.557189,1.696209,0.508715,0.182542,-0.289879,0.008306,0.340532,0.48837,0.939044,-0.334585,2.358143
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.630473,28.128443,12.314211,5.595454,6.444709,6.491716,3.411248,1.517931,2.228143,6.789789,9.408222,6.581125,5.17274,7.708332,7.930375,1.706102,2.079219,2.458044,6.075012,11.97265,12.881508,20.068805,39.679992,39.306771,31.310874,34.616665,50.550947,78.310034,131.025018,116.8,120.364391,145.637537,373.820514,304.584168,48.133333,19.85261,16.258333,20.249444,17.173343,19.005952,11.948104,10.943691,12.342494,10.043296,11.276683,9.000746,5.434772,5.194692,1.124602,1.115862,5.687641,0.669365,-0.413589,1.329355,2.107247,0.515815,4.594153,3.316916,2.693603,3.449879,1.708072,1.525624,0.476077,-0.632568,-0.544873,0.242216,0.8067,0.841949,-0.586781,1.492035
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.707653,-8.116139,12.15929,5.881868,2.092897,4.084743,6.406502,2.360146,0.954558,4.581169,10.384566,8.150199,12.016,15.016902,-0.393261,2.094589,6.158919,4.97335,8.803331,16.407037,28.578433,3.918622,-1.970688,7.572221,-0.231297,11.655246,20.099958,12.230348,1.972572,6.800529,6.958318,4.644876,5.520141,7.003413,8.713179,6.722,9.062892,13.677174,11.54201,7.763538,10.399051,9.732924,4.464379,4.578231,5.812257,3.520456,6.232835,5.158535,2.474319,5.323802,5.800303,4.479896,5.870755,4.989596,8.677247,2.116432,9.564624,9.803268,7.548508,6.298623,6.415779,4.906973,4.948216,3.328173,3.945069,3.723276,6.623437,5.136838
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33389,1.164725,1.315789,1.461039,16.96,-0.547196,5.089409,-2.486911,-6.577181,5.747126,8.559783,0.125156,-2.625,1.026958,2.414231,1.736973,3.414634,-5.896226,5.137845,0.595948,0.947867,5.399061,0.222717,-1.888889,2.265006,-1.550388,-0.674916,2.604757,-4.083885,-0.460299,-3.00578,2.979738,0.462963,4.83871,-2.307692,-5.511811,-6.309524,3.557814,2.576687,1.076555,1.893491,-0.348432,-14.219114,0.951087,0.13459,4.032258,-1.421189,-0.262123,-0.262812,1.449275,2.597403,0.886076,-1.003764,1.774398,0.747198,1.730532,1.215067,3.601441,1.622248,1.824401,-0.223964,4.713805,1.92926,2.839117,6.134969,17.052023,24.36214,53.209795,37.796976,11.222571,18.630214,-15.348064,-19.646365,-6.182326,10.498883,-4.009434,0.425412,-9.218437,-2.825607,0.227169,-2.765186,-8.717949,-3.830439,-0.531067,0.907635,1.111111,2.511774,5.053599,2.429543,3.889943,24.37247,24.739583,28.757829,24.645318,4.520325,3.546982,5.558894,7.600342,2.063492,2.695697,27.25896,27.707259,12.300047,-0.525515,1.014876,4.18387,10.250991,4.121735,5.949367,1.357663,1.918131,4.752392,10.950517,12.963633,19.468247,7.172543,10.726795,3.349715,15.050754,21.944047,13.191684,6.742673,9.898587,21.356698,42.416276,49.410696,32.422209,30.308902,44.012514,44.47742,58.607399,51.64695,50.254232,84.016437,30.777951,31.951581,22.138439,18.278856,25.763474,20.742691,15.510719,6.80878,3.959331,4.082794,1.551158,1.654754,2.253901,1.789751,1.716639,3.229768,5.155775,6.390647,5.171735,2.059848,3.148508,4.009392,6.67328,5.066213,12.677389,12.006717,5.387629,4.006241,5.18664,3.869628,2.045473,1.634446,1.69772,1.761271,2.680839,3.017589,2.843829,4.444368
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.874674,1.510481,-1.396903,9.762858,4.180696,1.939133,2.747688,2.75135,5.005005,2.001907,4.719626,-0.401606,2.620968,2.968784,5.08798,7.585233,5.887868,4.30317,2.037351,2.063985,1.25,2.664068,5,4.86739,5.747952,10.789509,19.170857,16.941128,16.757613,18.37027,12.105967,14.803454,21.217219,19.515879,16.452065,14.673275,10.79823,9.175688,5.848275,4.744117,5.059405,6.258849,6.457344,6.279085,5.267926,4.62708,4.049571,5.238472,3.971155,2.044601,1.963515,1.656058,2.538678,2.78447,2.463842,2.673413,2.204403,1.987081,2.092178,1.827392,3.349473,0.77562,1.522016,2.783329,3.040131,1.218418,0.242422,0.03836,-0.082526,1.215554,1.137488,0.611247,-0.137708,1.873783
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.353253,82.928981,31.98296,-6.760049,17.766166,5.047144,6.335797,6.852036,-1.115242,0.281955,2.952202,-0.455166,1.097394,3.663501,5.453752,6.743897,7.635659,3.709039,6.666667,4.980469,4,5.426357,5.260181,7.544883,6.37611,4.855842,11.601544,23.211584,11.734783,9.387755,8.15155,4.193206,3.731533,7.771639,4.932787,2.746716,1.880811,2.25057,2.038746,0.606362,0.128446,0.651273,2.294118,3.066897,3.273201,1.728795,1.25686,0.690559,-0.086813,0.139022,1.700651,0.648409,-0.347546,-0.68901,-0.69379,-0.897016,-0.261097,-0.008726,-0.287983,0.253807,0.043649,1.378709,-1.334137,-0.741516,-0.272456,0,0.4,2.7,0.8,-0.1,0.5,0.989095,0.468776,-0.024996,-0.233353
Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.247646,10.90231,10.764455,12.390228,15.959768,13.503342,11.683719,3.220425,24.307667,25.249554,15.329129,10.096488,14.457331,18.324557,28.696978,21.352879,7.190258,3.420585,2.273909,2.460248,2.75024,3.047907,7.146871,5.700382,8.573813,9.33279,6.213281,4.800997,6.26586,4.480741,4.924544,4.438932,7.51358,0.812957,2.259166,4.066576,2.762262,3.514875,3.590663,2.753792,2.24234,2.534574,4.673897,2.756497,2.939287,4.025965,2.187071,1.301348,1.274774,0.706332,0.971686,1.944332,1.475839,0.383,0.537288,2.498333
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.620565,410.451859,72.254682,39.647629,24.625195,8.881048,5.067554,0.727551,0.981615,1.36712,0.281507,-1.134309,1.164103,2.658485,3.73912,5.737174,10.925886,4.453045,1.319214,4.130276,3.089983,1.047479,0.103758,-0.884097,0.905525,3.722889,2.697928,2.334509,1.199894,4.683544
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.804858,3.885603,8.220656,1.704195,-0.212347,0.984879,-0.111441,0.575404,4.623287,0.65157,0.386879,0.44962,0.482428,0.895957,2.876323,3.096376,3.333687,2.619883,2.501916,2.995536,2.295175,4.639541,4.672622,5.226347,6.066378,9.540352,10.719016,9.796755,6.705788,3.094236,4.547125,6.299396,8.072904,9.357356,8.669469,5.629601,3.069924,0.294135,-0.05637,1.436408,3.371087,3.702193,3.267112,3.154064,3.588313,2.100836,1.754654,1.187114,1.36886,0.957976,1.025294,3.150317,2.66282,2.074648,2.049295,2.227974,2.487108,2.666709,2.313515,3.40011,0.369924,2.273347,3.409845,2.664151,1.733982,0.62906,0.476088,0.290666,1.7308,1.528195,1.743321,0.819957,2.52692
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.168614,109.15588,35.910593,24.97736,17.616465,8.446366,4.642874,2.370361,2.642226,2.494208,1.932662,2.940144,6.194306,6.74873,6.534652,10.093226,15.402009,3.533553,-1.082858,4.36948,2.256985,-0.028185,0.579563,0.223321,0.13296,2.925366,2.536156,2.81574,0.219428,3.275789
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.347826,360.699301,130.631451,16.295906,2.184493,1.295968,0.656096,-1.314503,5.977543,4.975589,2.137344,0.823484,-0.422792,0.521085,3.215897,2.250744,8.322721,-0.722143,1.488624,3.900325,3.336809,2.778856,-0.26433,-0.302893,-0.235455,1.339931,1.449929,0.784953,1.190301,3.223933
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573262,10.009,4.715274,7.142688,15.763656,11.504104,5.806529,-0.873659,-1.829637,-0.332513,2.038433,0.421775,0.934427,0.846747,2.974715,2.547098,1.635694,4.142638,4.133816,3.975212,2.489791,3.111421,2.391016,2.128777,2.370218,2.93214,2.186964,1.306086,2.790081,3.00978,2.77378,1.249219,4.258622,2.084327,1.517305,2.72127,2.416087,1.375187,0.313444,1.097501,0.644541,1.364578,1.156754,1.642685,0.638013,1.497004
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333333,3.225806,15.625,29.72973,27.083333,6.557377,24.615385,12.345679,6.593407,5.154639,5.882353,12.962963,6.557377,5.384615,5.109489,15.972222,4.790419,5.714286,11.351351,2.427184,5.21327,1.801802,0.884956,0.877193,2.173913,3.404255,4.526749,2.755906,1.532567,3.018868,5.017668,5.51817,4.910714,12.036474,23.874118,14.892685,15.859703,29.022705,17.470033,18.17195,26.327393,27.995928,58.902397,101.837683,65.455061,57.756461,86.230438,131.826629,114.162163,20.007868,26.651703,22.662384,15.508051,9.751467,6.965806,34.999265,34.378445,20.625579,15.928379,16.585667,9.491543,6.367725,5.030732,4.546858,4.688415,3.988104,3.62945,3.966842,5.124991,5.297367,4.156719,3.407386,4.111479,3.806399,4.018651,2.720617,2.821701,6.041469,4.899354,3.635955,3.396834,5.689208
