Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.613782,-0.765939,-1.381616,7.321901,23.365976,0.234989,1.996348,8.515672,12.512497,4.525105,1.351314,12.634554,15.166405,25.745289,16.239401,11.62394,8.84511,15.976132,33.603842,17.947276,18.701884,15.18506,22.258035,22.16011,25.334424,72.252128,75.203227,55.963019,32.610727,20.500343,38.642193,11.578142,7.684203,13.905479,44.23747,45.980171,28.844258,22.870538,18.141168,26.630985,30.649273,32.511575,20.058939,77.805037,352.827977,504.733893,374.735354,211.924374,91.954141,40.08722,33.389211,35.138344,19.686838,9.941021,27.257197,19.860208,30.703493,19.476867,19.880808,14.684359,17.027941,26.036478,21.78442,15.425803,12.727761,11.443124,8.232634,7.359115,6.133867,5.110244,3.336883,3.843273,3.569101,2.489398,2.810177,1.054739,3.052574,3.392019,4.407798,8.716269,1.482738,1.516986,3.341304,3.006267,2.105935,4.394751,4.349077,3.786867,2.182562,2.433498,2.254148,3.045491,4.524568
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,7.458292,2.465753,1.960784,2.01049,2.742074,9.341118,6.4836,7.30659,18.758344,17.987634,3.096713,3.419593,6.389634,14.699706,24.130355,17.079646,8.319343,2.796855,-0.767761,-1.402672,0.346968,0.708613,-0.730226,1.12612,3.822626,1.778815,1.648486,4.817214,5.924228,-0.729295,3.176232,5.551301,2.606172,2.569483,2.056118,1.542349,2.120465,1.517464,1.926926,3.036599,2.557878,0.848892
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.761639,6.432218,5.061262,5.990917,5.029593,1.231452,2.780046,3.434648,3.763343,4.503609,5.0385,6.500768,4.889837,4.659495,2.6143,2.980448,3.605344,2.227707,1.745776,4.027175,1.973439,2.800254,4.141362,2.283426,2.563146,2.497178,2.370062,4.670503,0.327558,2.429558,3.290015,2.3883,-0.400789,-1.353679,-2.098359,-1.429167,0.531766,1.435491,0.250371,-0.638423,2.446089
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.757813,11.03411,20.660988,9.921444,9.217663,8.758777,8.596147,10.698374,2.135445,3.775398,4.662666,1.902969,0.118761,2.760102,1.857083,2.533995,2.853128,6.358658,1.019374,1.472733,1.917217,3.287636,1.438299,0.343988,0.30935,0.683518,2.450522,2.149516,2.847865,3.161293,3.839836
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,8.609272,0.609756,3.636364,2.923977,1.136364,-3.370787,-8.139535,0.392405,-2.142857,2.189781,2.142857,0.699301,0.694444,0.689655,0,3.424658,1.986755,2.597403,1.898734,1.863354,2.439024,8.928571,7.103825,5.102041,17.475728,-6.199893,7.606838,2.118083,-1.763028,0.131961,1.686874,2.617937,2.096489,2.12766,0.896318,1.536615,2.293686,2.843273,2.966959,2.335735,3.242321,3.533058,1.796049,1.4703,1.912674,3.450237,5.240975,5.484938,7.032024,6.986428,5.910336,4.246631,3.734169,2.718691,4.043622,5.441055,6.344242,5.241046,3.293413,2.405797,2.066233,-0.129414,0.249907,1.274121,2.780563,2.69647,3.632091,5.066836,4.483218,2.667285,1.750819,1.43206,1.937179,0.869659,0.61735,1.428118,2.002503,1.390593,1.068979,1.656356,1.531213,1.595128,2.302788,2.623012,0.299103,1.111513,2.082402,1.978638,1.502404,0.938848,0.536283,0.491749,1.509497,1.732168,1.445667,0.50669,3.14297
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6.25,0,0,0,5.882353,0,5.555556,15.789474,18.181818,15.384615,16.666667,17.142857,19.512195,-14.285714,-16.666667,5.714286,5.279188,1.639344,-13.472486,-5.126096,-1.531349,-1.173709,-4.008314,-6.062481,-0.823181,2.49004,4.243602,3.480423,1.471471,2.959455,1.868353,1.439052,22.225313,18.95767,4.113258,1.83756,0.902201,1.055079,-0.601663,2.52804,2.465706,1.542112,4.439252,11.441355,4.287353,0.453733,0.479058,4.522545,5.81259,3.190048,1.277154,1.732469,1.239574,3.455773,7.377502,6.118665,3.135314,6.861176,7.072397,8.151682,8.008823,3.48567,6.511976,5.86469,6.565687,9.3097,15.267057,9.616601,8.893035,11.140294,10.001361,9.635527,12.279913,11.718188,10.14586,6.835443,6.34342,4.662324,3.717655,3.979157,4.525437,4.779892,2.648364,2.404431,2.11054,1.214313,2.003829,2.077077,2.157392,2.183825,1.820103,2.479529,2.925951,2.372622,2.424437,2.075078,1.154357,1.817815,1.924221,1.693266,3.416268,1.30471,2.310924,2.758682,2.397915,0.789072,0.564021,0.452034,0.25,1.147132,0.813609,0.758132,0.420712,1.853045
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.685625,5.727872,4.950486,2.643394,0.340273,4.225852,1.409847,4.261487,3.968281,1.382423,2.311488,3.679001,4.855068,5.74061,3.911065,4.528483,8.887004,3.254225,2.91694,4.784448,6.397689,5.591116,4.26999,1.951775,2.415131,7.226061
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.070273,47.658429,29.001243,23.058911,11.181886,8.162877,3.306148,4.010675,5.752498,3.562908,1.339616,3.048072,4.08969,4.429915,6.597639,10.365603,-0.084776,2.97558,4.977615,3.934922,2.788497,-0.110841,-0.490623,0.149109,3.414588,3.433027,2.287702,-0.448399,4.650279
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.877253,5.852659,10.772456,13.378949,7.309781,1.177758,0.809258,5.706481,8.743698,6.979253,13.21413,6.24037,6.391633,4.954365,2.160347,5.731143,8.236886,8.272289,11.416707,15.680378,16.953285,17.62488,24.538052,19.773685,15.660226,15.561909,14.549351,14.414987,12.174085,11.280269,8.814454,8.794939,5.248023,4.837267,6.791436,6.721822,5.934214,5.924531,4.569073,4.718413,4.673804,3.558843,1.971078,1.83433,2.310346,3.433517,3.589897,3.067403,3.038888,3.039249,3.368814,3.515576,2.786797,4.075343,-0.287813,1.799865,3.196102,2.446128,1.408581,-0.151115,-0.500366,-0.202598,1.956076,1.674981,0.699519,-0.322753,3.093135
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.713255,-0.376773,-3.036707,11.425949,11.335324,6.602552,1.544067,3.237656,1.812164,4.453836,4.855275,10.359157,4.827864,3.919179,4.567619,9.5626,2.208933,2.735755,6.480246,6.678552,10.718641,16.942722,17.830106,14.341544,12.651476,7.801223,7.466951,11.592794,11.983287,9.584822,8.366898,7.069802,5.194388,2.933266,4.115555,5.083659,6.587851,6.101007,4.309414,2.931219,2.176787,1.090874,0.974366,0.620259,1.19122,1.411813,1.159794,3.35724,2.583413,1.577045,0.863362,0.189293,0.847903,1.564571,2.51226,4.065761,0.000843,1.210358,3.416809,2.808332,1.478288,1.041147,-0.207081,0.356685,0.754015,1.083821,1.02654,0.279248,2.21328
